id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
13365,3774,1080° Avalanche,NULL,2003-11-28 00:00:00.000,3,NULL,70.0000,1,69.4722,7
192040,26814,18 Wheels of Steel: Across America,NULL,2003-09-23 00:00:00.000,1,NULL,NULL,NULL,70.0000,3
61700,12374,1893: A World's Fair Mystery,NULL,2003-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
42818,159403,1942 Wing Baron,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
188771,223001,3D Chess,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5047,204578,3D Live Pool,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
166098,79139,5 Days a Stranger,"Get in, get the loot, get out... that's how it usually goes for master cat burglar Trilby. But after he breaks into the supposedly vacated country manor erstwhile of the aristocratic DeFoe family, he quickly finds that things are not that simple. Together with a group of strangers, he finds himself imprisoned by some invisible intelligence. A force prepared to do anything to keep them there.",2003-09-22 00:00:00.000,2,NULL,NULL,NULL,79.8891,8
180893,44820,5 Star Racing,NULL,2003-12-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
119069,133765,625 Sandwich Stacker,NULL,2003-08-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8275,73550,Abandoned Well,NULL,2003-07-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92031,71108,Abashera,NULL,2003-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
156646,132868,Acquaria,"From a desolate environment comes an exuberant story. ACQUÁRIA shows a distant future in which the ""Blue Planet"" can no longer be called such. The Earth is practically exhausted after constant aggression against nature.
All that is left are ruined cities and a few groups of people surviving in a devastating scenario. After years of exploitation and aggression against nature, water on planet Earth has come to an end.

In this arid environment, Sarah (Sandy) and Kim (Junior) live the saga and adventure of surviving in ACQUÁRIA, a place full of dangers and mysteries. With their friends Gaspar and Guili, they live challenges and emotions in search of the rarest and most precious commodity on Earth: water.",2003-12-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116530,45979,Activision Anthology: Remix Edition,NULL,2003-11-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
172911,98251,Adiboo & Paziral's Secret,NULL,2003-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
189332,1692,Advance Wars 2: Black Hole Rising,"While the Allied Nations were still recovering from the war in Cosmo Land, the Black Hole Army had already recovered and has decided to launch a large-scale invasion on Macro Land. Along with the original Black Hole army's commanding officers (COs), four new COs were recruited, under the command of Sturm. Sturm orders each Black Hole CO to invade and capture each of the four continents controlled by the four other armies from the original game: Orange Star was to be taken by Flak, Blue Moon by Lash, Yellow Comet by Adder, and Green Earth by Hawke. Lash also invented several new war weapons like the Black Cannon and the Mini Cannons that were to be put to use in this invasion. The four allied armies must now work together to drive Black Hole out of their world once and for all.

Once the Black Hole troops are driven from the Allied Nations' continents, their COs convene in Black Hole territory, near Black Hole's base of operations. Here they fight Sturm, the mastermind behind the invasion. The final battle takes place in front of the Death Ray, a powerful new weapon guarding the entrance to a missile, which, if not subdued in time, would destroy half of Wars World.

The Death Ray is eventually destroyed by the COs of the Allied Nations, who manage to disarm the missile and corner Sturm. In an act of desperation, Sturm attempts to blow up the base and inflict damage on Wars World by self-destructing the missile. Andy attempts to stop Sturm to no avail. However, in a surprising turn of events, Hawke, second in command to Sturm, betrays his leader by killing him with Black Storm before the self-destruct is triggered. Hawke takes over as leader of Black Hole, and along with Flak, Lash, and Adder, leaves Macro Land with the few troops he has left.",2003-06-24 00:00:00.000,13,NULL,90.5000,2,85.8395,36
179572,47306,AFL Live 2004,NULL,2003-09-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94534,145568,Age of Empires: Pocket PC Edition,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
